cantidadProducto,fechaPedido,idClienteFK,idProductoFK
2,2026-01-03,1,5
1,2026-01-05,2,12
3,2026-01-07,3,23
2,2026-01-09,4,34
1,2026-01-10,5,7
4,2026-01-12,6,16
2,2026-01-13,7,8
1,2026-01-15,8,19
5,2026-01-17,9,25
2,2026-01-18,10,30
1,2026-01-20,11,2
3,2026-01-21,12,44
2,2026-01-23,13,13
4,2026-01-24,14,31
1,2026-01-25,15,6
2,2026-01-26,16,20
3,2026-01-27,17,3
1,2026-01-28,18,48
2,2026-01-29,19,22
4,2026-01-30,20,11
1,2026-02-01,21,15
2,2026-02-02,22,36
3,2026-02-03,23,29
1,2026-02-04,24,1
2,2026-02-05,25,10
5,2026-02-06,26,14
3,2026-02-07,27,38
2,2026-02-08,28,9
1,2026-02-09,29,47
4,2026-02-10,30,33
2,2026-02-11,31,18
1,2026-02-12,32,26
3,2026-02-13,33,39
2,2026-02-14,34,4
1,2026-02-15,35,41
5,2026-02-16,36,24
2,2026-02-17,37,37
3,2026-02-18,38,46
1,2026-02-19,39,17
2,2026-02-20,40,21
4,2026-02-21,41,42
1,2026-02-22,42,32
2,2026-02-23,43,45
3,2026-02-24,44,35
1,2026-02-25,45,28
2,2026-02-26,46,49
5,2026-02-27,47,27
3,2026-02-28,48,50
2,2026-03-01,49,40
1,2026-03-02,50,43
