nombreProducto,precioProducto,stoProdT,categoriaProducto
Pan Invisible,2500,100,Panaderia
Leche de Unicornio,15900,50,Lacteos
Galletas Que Hacía Mi Amigo Sebastián En Noveno Y El Resto De La Prom Lo Llamaba El Bro Galleta,5000,20000,Snacks
Queso Cuantico,27200,30,Lacteos
Chocolate 99% Culpa,14100,120,Dulces
Cereal Intergalactico,18450,80,Desayuno
Arroz Infinito,3900,300,Granos
Pasta Multiverso,6800,150,Granos
Sopa Instantanea Filosofica,2500,400,Preparados
Yogur con Opiniones,7300,90,Lacteos
Helado Sabor Existencial,15600,60,Postres
Pizza Cuadrada Redonda,38900,40,Comida Rapida
Hamburguesa Vegana de Carne,29500,70,Comida Rapida
Salchicha Vegana Sospechosa,12750,110,Embutidos
Jugo de Nube,5250,130,Bebidas
Cafe DespiertaMuertos,9900,200,Bebidas
Te Relajante Extremo,6600,140,Bebidas
Agua Premium con Gas Imaginario,2100,500,Bebidas
Aceite de Oliva Bendecido,45000,25,Despensa
Azucar Light Ironica,5800,220,Despensa
Sal Marina del Espacio,6400,160,Despensa
Mermelada de Nada,9100,75,Despensa
Mantequilla Fitness,11200,95,Lacteos
Huevos Cuadrados,13700,180,Proteinas
Pollo Feliz pero Frito,26800,60,Proteinas
Carne Vegana Premium Deluxe,58500,45,Proteinas
Pescado sin Espinas ni Sentido,32900,55,Proteinas
Atun Vegano Confundido,18200,85,Enlatados
Mayonesa Sin Culpa,8950,170,Salsas
Ketchup Gourmet Existencial,10400,150,Salsas
Mostaza Filosofica,7700,140,Salsas
Pan Integral UltraFit,6300,210,Panaderia
Torta de Aire,26000,35,Postres
Brownie Sin Remordimiento,11850,120,Postres
Donas Keto pero No,14600,100,Postres
Barra Energetica Dudosa,7150,190,Snacks
Granola Hipster,13950,160,Desayuno
Leche de Almendra Rebelde,16500,80,Bebidas
Batido Proteico Magico,22750,70,Bebidas
Smoothie Verde Sospechoso,18900,60,Bebidas
Sushi de Campo,49800,40,Comida Gourmet
Taco Internacional,8200,130,Comida Rapida
Burrito Cuantico,14400,110,Comida Rapida
Empanada Multiversal,6850,200,Comida Rapida
Arepa Suprema Deluxe,9600,180,Comida Tradicional
Chips de Aire Premium,5100,300,Snacks
Palomitas Gourmet Invisibles,4950,250,Snacks
Gelatina Inestable,7550,140,Postres
Flan Misterioso,10350,100,Postres
Postre Sorpresa Existencial,16750,90,Postres
